0字节,0位元組
肖斯塔科维奇,蕭士塔高維奇
蕭士達高維契,蕭士塔高維奇
肖邦,蕭邦
薛定谔,薛丁格
扎伊尔,薩伊
扎伊爾,薩伊
素檀,蘇丹
苏里南,蘇利南
浮罗交怡,蘭卡威
浮羅交怡,蘭卡威
劳拉,蘿拉
荧光,螢光
荧屏,螢屏
屏幕,螢幕
行人路权,行人路權
行人路權,行人路權
流動作業系統,行動作業系統
移动操作系统,行動作業系統
流動網絡,行動網路
移动网络,行動網路
流動電話,行動電話
移动电话,行動電話
冲着,衝著
埃塞俄比亚,衣索比亞
埃塞俄比亞,衣索比亞
克隆人,複製人
国际象棋,西洋棋
國際象棋,西洋棋
赫梯,西臺
分辨率,解析度
解像度,解析度
译码,解碼
触摸屏,觸控螢幕
出租车,計程車
约翰逊,詹森
诺曼底,諾曼第
瑙魯,諾魯
瑙鲁,諾魯
科特迪瓦,象牙海岸
碧咸,貝克漢
貝爾格萊德,貝爾格勒
贝尔格莱德,貝爾格勒
伯利兹,貝里斯
伯利茲,貝里斯
首席财务官,財務長
集装箱,貨櫃
数据库,資料庫
數據庫,資料庫
信息时代,資訊時代
信息论,資訊理論
乔布斯,賈伯斯
本·拉登,賓·拉登
宾西法尼亚,賓夕法尼亞
本拉登,賓拉登
利比里亚,賴比瑞亞
利比里亞,賴比瑞亞
莱索托,賴索托
萊索托,賴索托
塞浦路斯,賽普勒斯
赫丘勒·波洛,赫丘勒·白羅
赫鲁晓夫,赫魯雪夫
切尔诺贝利,車諾比
软驱,軟碟機
軟件,軟體
软件,軟體
津巴布韋,辛巴威
津巴布韦,辛巴威
径入,逕入
径到,逕到
径取,逕取
径启,逕啟
径寄,逕寄
径庭,逕庭
径往,逕往
径自,逕自
径行,逕行
径迎,逕迎
链接,連結
連結他,連結他
进制,進位
达·芬奇,達·文西
达芬奇,達文西
溫納圖萬,那杜
丘吉尔,邱吉爾
多普勒,都卜勒
酰,醯
里士满,里奇蒙
金沙萨,金夏沙
金沙薩,金夏沙
健力士世界紀錄,金氏世界紀錄
健力士世界纪录,金氏世界紀錄
吉尼斯世界纪录,金氏世界紀錄
钚,鈽
鈎,鉤
钩,鉤
锎,鉲
锫,鉳
镅,鋂
镎,錼
钫,鍅
炼金,鍊金
锻炼,鍛鍊
锝,鎝
鐵杆,鐵桿
铁杆,鐵桿
泰坦尼克号,鐵達尼號
锿,鑀
关系着,關係著
写保护,防寫
阿布扎比,阿布達比
阿拉伯联合酋长国,阿拉伯聯合大公國
阿拉伯聯合酋長國,阿拉伯聯合大公國
亚拉巴马,阿拉巴馬
阿联酋,阿聯
阿聯酋,阿聯
罗纳德·里根,隆納·雷根
私隱,隱私
耶加達,雅加達
雅尔塔,雅爾達
雅爾塔,雅爾達
雅穆苏克雷,雅穆索戈
雅穆蘇克雷,雅穆索戈
悉尼,雪梨
雪茄烟,雪茄菸
雪茄煙,雪茄菸
莱特湾,雷伊泰灣
萊特灣,雷伊泰灣
激光,雷射
雷诺阿,雷諾瓦
电子烟,電子菸
電子煙,電子菸
晶体管,電晶體
晶體管,電晶體
电杆,電桿
电线杆,電線桿
电脑程序,電腦程式
计算机程序,電腦程式
电脑网络,電腦網路
電腦網絡,電腦網路
荷尔斯泰因,霍爾斯坦
荷爾斯泰因,霍爾斯坦
面包着,面包著
朝鲜战争,韓戰
声卡,音效卡
缺省,預設
导弹,飛彈
糊口,餬口
香烟,香菸
香煙,香菸
馬里共和國,馬利共和國
马里共和国,馬利共和國
马拉维,馬拉威
馬斯特里赫特,馬斯垂克
马斯特里赫特,馬斯垂克
马耳他,馬爾他
馬爾代夫,馬爾地夫
马尔代夫,馬爾地夫
馬利蘭,馬里蘭
高清电视,高畫質電視
斗着,鬥著
魯賓斯·巴里切羅,魯本·巴瑞切羅
咪高峰,麥克風
迈克尔,麥可
麦克尔,麥可
迈凯轮,麥拿輪
邁凱輪,麥拿輪
马萨诸塞,麻薩諸塞
粘膜,黏膜
戴安娜,黛安娜
狄安娜,黛安娜
点烟,點菸
點煙,點菸
霉素,黴素
